No,Name des Unternehmens 
1,Kino - Fun
2,Uniburger
3,The Food Hood
4,Botschaft des Landes Absurdistan
5,Sportpalast
6,Nähunternehmen 0.1
7,Très Chic
8,Massage Salon
9,Smoothie- bzw. Cocktailbar
10,Waffel Take Away
11,Kaiserpfanne
12,GGWP Zocken bis..
13,"Probebühne ""Lange Eik"""
14,Bank
15,Supermarkt
16,Zoll
17,Polizei 
18,Habibi Lounge
19,IDSB Lotterie
20,Zockerhalle 
21,Frosty
22,?
23,Jiggle 
24,Nerf-Schießstand
25,Choc & Roll
26,Brunch & lunch 
27,Werbeagentur 
28,Fitnesscenter
29,Tatoostudio
30,Chocolate Dream
31,Krankenhaus
32,Kirche des fliegenden Pizzamonsters 
33,The iDSB Daily
34,Royal Bank
35,Wedding Chappel
36,Powder & Sugar 
37,
38,
,
